jfcode,name,status,product_id,sku,image_url
JF0862,INKSAFE-BTLCOV-15CMx25.5CM-CLR250,End Of Line,2318,JF0862,
JF0868,INKSAFE-SLEEVE-5CMx250M-BLK,End Of Line,2339,JF0868,
JF0893,RedRelief Burn Dressing 3.5g sachet,Live,,,
JF0896,RedRelief Burn Gel 50g tube,Live,2508,JF0896,
JF0901,Cutiderm-Film-100x120mm-10-FBA,End Of Line,2926,JF0901,
JF0912,PROSORB-UB-BL10,End Of Line,2490,JF0912,
JF0917,Cutiderm Calcium Alginate Wound Dressing 5x5cm Single,Live,,,
JF0919,Cutiderm Paraffin Gauze Dressing 5x5cm - Single,Live,,,
JF0924,Cutiderm Adhesive Wound Dressing Pouch 60x70mm,Live,,,
JF0925,Cutiderm Adhesive Wound Dressing Pouch 80x100mm,Live,,,
JF0926,Cutiderm Adhesive Wound Dressing Pouch 80x150mm,Live,,,
JF0928,Cutiderm Sterile Suture Strips Pouch 5 Strips 3mm x 75mm,Live,,,
JF0929,Cutiderm Sterile Suture Strips Pouch 3 Strips 6mm x 38mm,Live,,,
JF0930,Cutiderm Sterile Suture Strips Pouch 3 Strips 6mm x 75mm,Live,,,
JF0931,Cutiderm Sterile Suture Strips Pouch 3 Strips 12mm x 100mm,Live,,,
JF0932,Cutiderm Super Absorbent Wound Dressing 10x10cm (single),Live,,,
JF0940,Snugfast Latex Finger Cots MEDIUM POUCH,Live,,,
JF0941,Snugfast Latex Finger Cots LARGE POUCH,Live,,,
JF0967,PILL4,End Of Line,10245,JF0967_READY,
JF0981,INKSAFE-SHEET15CMX10CM-25,End Of Line,2338,JF0981,
JF0995,Cutiderm Adhesive Wound Dressing 10x10cm - Pouch,Live,,,
JF0996,Cutiderm Low Adherent Wound Dressing 10x10cm - Pouch,Live,,,
JF0998,Cutiderm Low Adherent Pad 10x20cm - Pouch,Live,,,
JF0999,JFA Sterile Low Adherent Pad 5x5cm - Single Pouch,Live,,,
JF1000,JFA Sterile Low Adherent Pad 7.5x7.5cm - Single Pouch,Live,,,
JF1001,JFA Sterile Low Adherent Pad 10x10cm - Single Pouch,Live,,,
JF1002,JFA Premium Sterile Non-Woven 4ply Gauze Swabs 5x5cm - Single Pouch,Live,,,
JF1003,JFA Premium Sterile Non-Woven 4ply Gauze Swabs 7.5x7.5cm - Single Pouch,Live,,,
JF1004,JFA Premium Sterile Non-Woven 4ply Gauze Swabs 10x10cm - Single Pouch,Live,,,
JF1005,Inksafe Cohesive Bandage 5cm x 4.5m Tan,Live,2329,JF1005,
JF1009,Protectoe Toe Seperators - Pack of 8,End Of Line,2498,JF1009,
JF1015,Cutiderm Hydrocolloid Extra Thin Dressing 7.5x7.5cm - POUCH,Live,,,
JF1017,Cutiderm Hydrocolloid Extra Thin Wound Dressings 5x5cm - Pouch,Live,,,
JF1019,Cutiderm Hydrocolloid Wound Dressings 5x5cm - Pouch,Live,,,
JF1021,Cutiderm Hydrocolloid Wound Dressings 7.5x7.5cm - Pouch,Live,,,
JF1023,Protectoe Toe Cushions - 3 Sizes - Pack of 28,Live,2492,JF1023,
JF1025,Cutiderm Paraffin Gauze Dressings - 10x10cm - Single,Live,,,
JF1027,Cutiderm Calcium Alginate Wound Dressings - 10x10cm Single,Live,,,
JF1029,Cutiderm Hydrocolloid Wound Dressings 10x10cm - Pouch,Live,,,
JF1031,Cutiderm Hydrocolloid Extra Thin Wound Dressings 10x10cm - Pouch,Live,,,
JF1034,PRO-TTUBES-MED-PK5,End Of Line,2501,JF1034,
JF1039,Cutiderm Paraffin Gauze Dressings - 10x20cm - Single,Live,,,
JF1041,RedRelief Burn Dressing 5x5cm Single - Pouch,Live,,,
JF1043,RedRelief Burn Dressing 20x20cm Single - Pouch,Live,9835,JF1043,
JF1045,JFA Foil Blanket First Aid Kit,Live,,,
JF1047,Cutiderm Foam Dressings 5x5cm - single pouch,Live,,,
JF1048,Cutiderm Paraffin Gauze Dressing 7.5x7.5cm - Single,Live,,,
JF1050,Cutiderm Foam Dressing 7.5x7.5cm - Single pouch,Live,,,
JF1052,Cutiderm Foam Dressing 10x20cm - Single pouch,Live,,,
JF1055,Cutiderm Low Adherent Wound Dressing Assorted Pouch 5x5cm - Single,Live,,,
JF1056,Cutiderm Low Adherent Wound Dressing Assorted Pouch 7.5x7.5cm - Single,Live,,,
JF1057,Cutiderm Low Adherent Wound Dressing Assorted Pouch 10x10cm - Single,Live,,,
JF1066,Cutiderm Sterile Gauze Dressings - pouch 5x5cm,Live,,,
JF1067,Cutiderm Sterile Gauze Dressings - pouch 7.5x7.5cm,Live,,,
JF1068,Cutiderm Sterile Gauze Dressings - pouch 10x10cm,Live,,,
JF1070,Cutiderm Adhesive Wound Dressing - 100mm x 120mm pouch,Live,,,
JF1071,Cutiderm Adhesive Wound Dressing - 100mm x 150mm pouch,Live,,,
JF1072,Cutiderm Adhesive Wound Dressing - 100mm x 200mm pouch,Live,,,
JF1082,Protector Toe Bands - Small - Pack 10,Live,2496,JF1082,
JF1085,Protectoe Toe Splints - Pack of 10,Live,2499,JF1085,
JF1087,Cutiderm Silicone Wound Contact Layer 75 x100mm - pouch,Live,,,
JF1090,Cutiderm super absorbent dressing 10x20 - pouch,Live,,,
JF1093,Therapy Putty - Alt colour - 57g - Extra Soft (Light Blue),Live,,,
JF1094,Therapy Putty - Alt colour - 57g - Soft (Blue),Live,,,
JF1095,Therapy Putty - Alt colour - 57g - Medium (Purple),Live,,,
JF1096,Therapy Putty - Alt colour - 57g - Firm (Pink),Live,,,
JF1097,Therapy Putty - Alt colour - 57g - Extra Firm (Red),Live,,,
