jf_code,asin,pan_eu_status,expires,title
"JF0797","B07N6NBXBX","Enrolment ended","Fri Aug 15 10:46:24 UTC 2025","Cutiderm Adhesive Sterile Wound Dressings Pack of 10 (80mm x 100mm)"
"JF0800","B07ZQLP8YJ","Enrolment ended","Tue Aug 12 15:12:05 UTC 2025","Inksafe Transparent Tattoo Protection Film 15cm x 10m x 1 Roll – Adhesive Aftercare Fixation Bandage for Fresh Tattoos"
"JF0859","B09BJYNW7R","Enrolment ended","Tue Aug 12 14:51:07 UTC 2025","Inksafe White Self Adherent Cohesive Bandages 5cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Wrist and Ankle Sprains"
"JF0874","B08NRMM28V","Enrolment ended","Sat Sep 07 11:32:08 UTC 2024","Inksafe Blue Tattoo Clip Cord Covers/Sleeves 5cm x 80cm - Box of 125"
"JF0878","B08B1QWJL5","Enrolment ended","Tue Aug 12 14:57:20 UTC 2025","Inksafe Blue Self Adherent Cohesive Bandages 7.5cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Human Wrist and Ankle Sprains and Sports Injuries"
"JF0879","B084HLSD8Q","Enrolment ended","Tue Aug 12 15:17:56 UTC 2025","Inksafe Black Self Adherent Cohesive Bandages 5cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Wrist and Ankle Sprains"
"JF0881","B084HL6993","Enrolment ended","Tue Aug 12 15:23:15 UTC 2025","Inksafe Assorted Colours Self Adherent Cohesive Bandages 5cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Wrist and Ankle Sprains"
"JF0882","B084TTXK4Q","Enrolment ended","Tue Aug 12 14:50:22 UTC 2025","Assorted Colours Self Adherent Cohesive Bandages 7.5cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Human Wrist and Ankle Sprains and Sports Injuries"
"JF0885","B08NCSY6ZD","Enrolment ended","Tue Aug 12 15:26:42 UTC 2025","Inksafe Blue Self Adherent Cohesive Bandages 10cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Human Wrist and Ankle Sprains and Sports Injuries"
"JF0886","B08NCGT1RR","Enrolment ended","Tue Aug 12 19:02:13 UTC 2025","Inksafe Black Self Adherent Cohesive Bandages 10cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Human Wrist and Ankle Sprains and Sports Injuries"
"JF0887","B08NC974TQ","Enrolment ended","Tue Aug 12 14:12:55 UTC 2025","Inksafe Assorted Colours Self Adherent Cohesive Bandages 10cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Human Wrist and Ankle Sprains and Sports Injuries"
"JF0890","B08M3G1JHK","Enrolment ended","Sat Sep 07 13:52:27 UTC 2024","Inksafe Protective Adhesive Barrier Film Roll Dispenser, 10cm x 15cm, 1200 sheets/roll - Medical, Dental, Tattoo, Beauty"
"JF0903","B0839LBBLD","Enrolment ended","Sat Sep 07 12:49:50 UTC 2024","Cutiderm Silicone Contact Layer Net Wound Dressing 50mm x 75mm Pack of 10 for Skin tears, Scars, Surgical Wounds, Ulcers and Burns"
"JF0916","B094W5FRRN","Enrolment ended","Sat Jul 26 14:32:04 UTC 2025","Snugfast Big Toe Tubular Gauze Bandage Dressing 2.7cm x 20m Roll"
"JF0918","B094MKH6YM","Enrolment ended","Tue Aug 12 15:01:50 UTC 2025","Cutiderm Calcium Alginate Low Adherent Wound Dressing 5cm x 5cm Pack of 10 - Suitable for cuts and lacerations, Post Surgical Wounds, exuding Wound Including venous, arterial and Diabetic ulcers"
"JF0920","B093QRD59S","Enrolment ended","Tue Aug 12 13:59:44 UTC 2025","Pack of 20 Cutiderm Sterile Paraffin Gauze Dressing 5cm x 5cm - Suitable for Superficial and Partial Thickness Burns, Skin Loss Wounds, abrasions and Traumatic Injuries"
"JF0923","B097PWLM3L","Enrolment ended","Tue Aug 12 14:58:45 UTC 2025","Cutiderm Assorted Adhesive Sterile Wound Dressings Pack of 30"
"JF0927","B096B7B614","Enrolment ended","Tue Aug 12 13:55:06 UTC 2025","Cutiderm Sterile Skin Wound Closure Suture Strips, 4 Sizes - 150 Strips"
"JF0938","B095FXJ2BB","Enrolment ended","Fri Aug 15 09:30:13 UTC 2025","Cutiderm Skin Sterile Butterfly Wound Closure Suture Strips, 2 Sizes - Box of 100"
"JF0945","B01M32PAHI","Enrolment ended","Sat Sep 07 14:09:53 UTC 2024","JFA Medical Green Haversack Emergency First Aid Bag with Front Pocket - Empty"
"JF0952","B08P5VD4V3","Enrolment ended","Tue Aug 12 14:12:14 UTC 2025","JFA Medical Premium Sterile Gauze Swabs 5cm x 5cm - Pack of 100"
"JF0953","B07PLGDR5R","Enrolment ended","Tue Aug 12 15:33:13 UTC 2025","JFA Medical Premium Sterile Gauze Swabs 7.5cm x 7.5cm - Pack of 100"
"JF0954","B07PHGBFQK","Enrolment ended","Tue Aug 12 14:13:24 UTC 2025","JFA Medical Premium Sterile Gauze Swabs 10cm x 10cm - Pack of 100"
"JF0956","B07RQWFC7L","Enrolment ended","Sat Sep 07 12:42:18 UTC 2024","JFA Medical Low Adherent Sterile Absorbent Wound Dressing Pad - Pack of 100 (7.5cm x 7.5cm)"
"JF0965","B07PT9CRDS","Enrolment ended","Sat Sep 07 13:03:01 UTC 2024","JFA Medical Weekly Small Travel Pill Box Organiser/Reminder for Medicines Supplements, Vitamins, 7days, 4 compartments per Day – Morning, Noon, Evening and Bed."
"JF0970","B08LP4XT83","Enrolment ended","Sat Sep 07 11:47:43 UTC 2024","JFA Medical Pill Grinder/Crusher - Crushes Multiple Tablets/Pills into a fine Powder"
"JF0972","B08LVX1LX7","Enrolment ended","Tue Aug 12 14:17:33 UTC 2025","JFA Supplies Drinking Cup/Beaker/Mug/Sippy Cup for Disabled Adults with Easy Grip Handles Anti Splash Spout and Travel Lid"
"JF0973","B086CD1M2G","Enrolment ended","Tue Aug 12 15:11:14 UTC 2025","Prosorb Super Absorbent Disposable Sick/Vomit Bags Pack of 20"
"JF0974","B07L4627TB","Enrolment ended","Sat Sep 07 12:01:42 UTC 2024","JFA Medical Disposable Pulp Sick Bowls – Pack of 50"
"JF0976","B083M5VDNX","Enrolment ended","Tue Aug 12 14:14:02 UTC 2025","JFA Medical Disposable Sick/Vomit Bags – Pack of 50"
"JF0982","B01M2BT92T","Enrolment ended","Sat Jul 26 16:50:22 UTC 2025","JFA Medical 5 x Individually Packaged Medical First Aid Foil Survival Blankets for personal use - reflective to maintain body heat"
"JF0989","B09FKNKKGV","Enrolment ended","Thu Aug 24 15:33:13 UTC 2023","Pack of 5, Luxura Shampoo Cap, Conditioning, No Rinse"
"JF0993","B09GYTN1P3","Enrolment ended","Sat Jul 26 14:22:12 UTC 2025","Cutiderm Sterile Adhesive Wound Dressing 10cm x 10cm - Box of 50"
"JF1006","B0996127G2","Enrolment ended","Tue Aug 12 15:29:06 UTC 2025","Inksafe Blue Self Adherent Cohesive Bandages 5cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Wrist and Ankle Sprains"
"JF1013","B09KLQF2QG","Enrolment ended","Tue Aug 12 15:04:38 UTC 2025","Cutiderm Microporous Surgical Tape First Aid Medical Tape 2.5cm x 9.14m - Pack of 6 Rolls"
"JF1016","B09KLW9M2C","Enrolment ended","Tue Aug 12 13:57:24 UTC 2025","Cutiderm Extra Thin Hydrocolloid Dressings 5 x 5 cm - Pack of 10"
"JF1022","B09GXL3PPB","Enrolment ended","Tue Aug 12 14:00:42 UTC 2025","Inksafe Black Protective Adhesive Barrier Film Roll Dispenser, 10cm x 15cm, 1200 sheets/roll - Medical, Dental, Tattoo, Beauty"
"JF1024","B07QP85PMF","Enrolment ended","Tue Aug 12 13:57:12 UTC 2025","Cutiderm Sterile Paraffin Gauze Dressing 10cm x 10cm Pack of 10"
"JF1026","B081QHZD7G","Enrolment ended","Tue Aug 12 13:55:15 UTC 2025","Cutiderm Calcium Alginate Low Adherent Wound Dressing 10cm x 10cm Pack of 10 - Suitable for cuts and lacerations, Post Surgical Wounds, exuding Wound Including venous, arterial and Diabetic ulcers"
"JF1037","B09NMM2MP1","Enrolment ended","Tue Aug 12 15:29:46 UTC 2025","Pack of 25 Snugfast White Finger Cots Buddies Tubular Bandage Dressings"
"JF1038","B09LTH3PCX","Enrolment ended","Tue Aug 12 13:55:02 UTC 2025","Cutiderm Sterile Paraffin Gauze Dressing 10cm x 20cm Pack of 10 - Suitable for Superficial and Partial Thickness Burns, Skin Loss Wounds, abrasions and Traumatic Injuries"
"JF1049","B09N7L9JQ7","Enrolment ended","Tue Aug 12 13:54:25 UTC 2025","Cutiderm Sterile Paraffin Gauze Dressing 7.5cm x 7.5cm Pack of 20"
"JF1061","B09NMMV7P8","Enrolment ended","Tue Aug 12 15:35:55 UTC 2025","Pack of 25 Snugfast Blue Finger Cots Buddies Tubular Bandage Dressings"
"JF1102","B0B4KPBH9T","Enrolment ended","Fri Sep 06 14:33:24 UTC 2024","JFA Medical Reusable Waterproof Shower Arm Cast Cover Protectors, Half Arm Box of 5"
"JF1103","B0B4KRRCKK","Enrolment ended","Fri Sep 06 14:29:31 UTC 2024","JFA Medical Box of 3 Reusable Waterproof Shower Leg Cast Cover Protectors, Half Leg"
"JF1129","B09X5M7W6J","Enrolment ended","Tue Aug 12 15:24:57 UTC 2025","Inksafe Pink Self Adherent Cohesive Bandages 5cm x 4.5m Box of 12 - Uses Include Vet Wrap, Tape for Wrist and Ankle Sprains"
"JF1153","B0BJY37L9D","Enrolment ended","Tue Aug 12 14:12:46 UTC 2025","Pack of 30 Snugfast Assorted Colour Finger Cots Buddies Tubular Bandage Dressings"
"JF1158","B0BJZ11ZMT","Enrolment ended","Fri Sep 06 15:45:35 UTC 2024","Snugfast Sterile Finger Bandage Wound Dressings Box of 25"
"JF1160","B0BKCF5ZJG","Enrolment ended","Tue Aug 12 16:18:02 UTC 2025","Cutiderm Sterile Adhesive Wound Dressing 5cm x 7.5cm - Box of 50"
